ticker,pages_ok,pages_failed,component_rows,complete_18_pages,finished_at_utc
AAA,18,0,36,True,2026-07-09T10:59:56.986485+00:00
AAM,18,0,36,True,2026-07-09T10:59:57.181486+00:00
AAN,18,0,36,True,2026-07-09T11:00:01.663713+00:00
AAT,18,0,36,True,2026-07-09T11:00:09.847059+00:00
ABR,18,0,36,True,2026-07-09T11:00:14.048934+00:00
ABS,18,0,36,True,2026-07-09T11:00:14.206492+00:00
ABT,18,0,36,True,2026-07-09T11:00:15.660636+00:00
ACC,18,0,36,True,2026-07-09T11:00:16.793566+00:00
ACG,18,0,36,True,2026-07-09T11:00:26.124501+00:00
ACL,18,0,36,True,2026-07-09T11:00:26.505012+00:00
ADC,18,0,36,True,2026-07-09T10:48:27.030939+00:00
ADG,18,0,36,True,2026-07-09T11:00:30.666698+00:00
ADP,18,0,36,True,2026-07-09T11:00:38.209349+00:00
ADS,18,0,36,True,2026-07-09T11:00:42.601045+00:00
AFX,18,0,36,True,2026-07-09T11:00:44.146776+00:00
AGG,18,0,36,True,2026-07-09T11:00:44.744773+00:00
ALT,18,0,36,True,2026-07-09T10:48:27.212939+00:00
AMC,18,0,36,True,2026-07-09T10:48:26.365205+00:00
AME,18,0,36,True,2026-07-09T10:48:25.941992+00:00
AMV,18,0,36,True,2026-07-09T10:48:27.531552+00:00
ANT,18,0,36,True,2026-07-09T11:00:48.768435+00:00
ANV,18,0,36,True,2026-07-09T11:00:55.867047+00:00
APH,18,0,36,True,2026-07-09T11:00:56.395049+00:00
API,18,0,36,True,2026-07-09T10:48:26.820939+00:00
ARM,18,0,36,True,2026-07-09T10:48:26.974939+00:00
ASG,18,0,36,True,2026-07-09T11:01:00.883424+00:00
ASM,18,0,36,True,2026-07-09T11:01:09.591566+00:00
ASP,18,0,36,True,2026-07-09T11:01:12.652245+00:00
AST,18,0,36,True,2026-07-09T11:01:13.538255+00:00
ATS,18,0,36,True,2026-07-09T10:48:26.812939+00:00
BAF,18,0,36,True,2026-07-09T11:01:14.033974+00:00
BAX,18,0,36,True,2026-07-09T10:48:48.922016+00:00
BBS,18,0,36,True,2026-07-09T10:48:46.007837+00:00
BCC,18,0,36,True,2026-07-09T10:48:46.506836+00:00
BCE,18,0,36,True,2026-07-09T11:01:18.450797+00:00
BCF,18,0,36,True,2026-07-09T10:48:47.100823+00:00
BCG,18,0,36,True,2026-07-09T11:01:23.969097+00:00
BCM,18,0,36,True,2026-07-09T11:01:25.906711+00:00
BED,18,0,36,True,2026-07-09T10:48:46.014839+00:00
BFC,18,0,36,True,2026-07-09T11:01:30.177317+00:00
BHN,18,0,36,True,2026-07-09T11:01:40.216728+00:00
BKC,18,0,36,True,2026-07-09T11:15:29.399255+00:00
BKG,18,0,36,True,2026-07-09T11:01:42.601021+00:00
BMC,18,0,36,True,2026-07-09T11:01:44.351366+00:00
BMP,18,0,36,True,2026-07-09T11:01:44.819367+00:00
BNA,18,0,36,True,2026-07-09T10:48:46.233836+00:00
BPC,18,0,36,True,2026-07-09T10:48:46.926935+00:00
BRC,18,0,36,True,2026-07-09T11:01:47.912066+00:00
BSR,18,0,36,True,2026-07-09T11:01:53.867445+00:00
