ticker,period,report_scope,total_assets,total_liabilities,equity,current_assets,current_liabilities,inventory,net_revenue,gross_profit,parent_net_income,net_income
AAA,2017-Q1,cafef_default,3211657681810.0,2154804227790.0,1056853454020.0,1341363361327.0,1186170042070.0,403169362314.0,728734941879.0,101744530820.0,66894667573.0,71840690693.0
AAA,2017-Q2,cafef_default,3372708212260.0,2199719244789.0,1172988967471.0,1332235848924.0,1077193213363.0,442176429679.0,853731610464.0,122914975208.0,39129314217.0,48735002219.0
AAA,2017-Q3,cafef_default,3777607549818.0,2554983615060.0,1222623934758.0,1526953967258.0,1482508550346.0,528819863634.0,1061671182278.0,129032542060.0,52029043164.0,67462200521.0
AAA,2017-Q4,cafef_default,4576157128799.0,2951186840177.0,1624970288622.0,2142716548893.0,1990803708402.0,536681725193.0,1425470568520.0,196693057080.0,65289636792.0,75326212523.0
AAA,2018-Q1,cafef_default,4786813479601.0,3273870677890.0,1512942801711.0,2378121710833.0,2135393276192.0,728011904178.0,1297958670465.0,147525799357.0,49238222361.0,60009995230.0
AAA,2018-Q2,cafef_default,6489699296640.0,3600336216973.0,2889363079667.0,3249517389758.0,2826962893668.0,900976173096.0,2318181552195.0,170103448453.0,36613161825.0,50702784029.0
AAA,2018-Q3,cafef_default,6685445083032.0,3758330813509.0,2927114269523.0,4217517644910.0,3046738247213.0,1632012045354.0,2186507667133.0,157839968620.0,42906658795.0,47910247007.0
AAA,2018-Q4,cafef_default,7529166722403.0,4548916573712.0,2980250148691.0,3979369447153.0,3206103405725.0,862749230434.0,2208924723596.0,197466856761.0,51502432019.0,53525887295.0
AAA,2019-Q1,cafef_default,7982072749097.0,4857799855948.0,3124272893149.0,5617907775211.0,3524154034393.0,1524049539243.0,2612336783301.0,374652686918.0,214037468440.0,223624985854.0
AAA,2019-Q2,cafef_default,8351307712921.0,5129086342647.0,3222221370274.0,5566536029038.0,3447621121357.0,1126772362258.0,2430034397763.0,291414459883.0,131699043390.0,140460249062.0
AAA,2019-Q3,cafef_default,7938063247638.0,4727606491958.0,3210456755680.0,5114262229085.0,3148309419335.0,992708266118.0,2364182734557.0,199576324530.0,63700407693.0,73749377132.0
AAA,2019-Q4,cafef_default,7990130386206.0,4724198988433.0,3265931397773.0,4974037160426.0,3225628586083.0,1226217495156.0,1833236968875.0,176495907954.0,58905123997.0,63887535366.0
AAA,2020-Q1,cafef_default,7768231726599.0,4527286854655.0,3240944871944.0,4556885712745.0,3064318165019.0,1117690136735.0,1572347331826.0,178765551995.0,58484466803.0,62658415975.0
AAA,2020-Q2,cafef_default,7786584839414.0,4544986504306.0,3241598335108.0,4344553691137.0,3149512205775.0,897444507113.0,1810595983352.0,183365659083.0,67684300148.0,74202580588.0
AAA,2020-Q3,cafef_default,8206176494747.0,4239353049643.0,3966823445104.0,4205633058730.0,2795587293037.0,828614538583.0,1927157012492.0,207211139931.0,78565203153.0,86077882504.0
AAA,2020-Q4,cafef_default,8569613917893.0,4545451942407.0,4024161975486.0,4451050828524.0,3772834861366.0,946809379604.0,2118456687374.0,207592870355.0,57706672925.0,60433448597.0
AAA,2021-Q1,cafef_default,9179385142444.0,5051729751083.0,4127655391361.0,5279713527496.0,4114416685869.0,1166690129425.0,2283617308096.0,239097135644.0,75141819491.0,89518452312.0
AAA,2021-Q2,cafef_default,9642310081327.0,4430109618877.0,5212200462450.0,5467617108516.0,3713259862429.0,1131960274006.0,3264745856008.0,354415354057.0,83357681623.0,92772805213.0
AAA,2021-Q3,cafef_default,9957115220854.0,4659393268030.0,5297721952824.0,5461324349888.0,3801512394659.0,1024271430739.0,3407180113876.0,317756575798.0,62514754147.0,67272699393.0
AAA,2021-Q4,cafef_default,9991631928569.0,4533249592064.0,5458382336505.0,5336715803039.0,3260484568906.0,965573567309.0,4198836350021.0,380688803247.0,60517570104.0,69875541074.0
AAA,2022-Q1,cafef_default,10477077016930.0,5103178395965.0,5373898620965.0,5562193645295.0,3838441760839.0,1042196865390.0,4027684398467.0,393675768916.0,88086043638.0,96487927146.0
