symbol,organ_name,en_organ_name,exchange,type,id,industry_code,industry_name,sector,profile_status,exclude_reason,included_nonfinancial
ADC,CTCP Mỹ thuật và Truyền thông,Art Design and Communication Joint Stock Company,HNX,stock,1,6.0,Công nghệ và thông tin,Công nghệ và thông tin,listing_only,,True
ALT,CTCP Văn hóa Tân Bình,Alta Company,HNX,stock,1,18.0,SX Nhựa - Hóa chất,SX Nhựa - Hóa chất,listing_only,,True
AMC,CTCP Khoáng sản Á Châu,Asia Mineral Joint Stock Company,HNX,stock,1,10.0,Khai khoáng,Khai khoáng,listing_only,,True
AME,CTCP Alphanam E&C,Alphanam E&C Joint Stock Company,HNX,stock,1,24.0,Xây dựng,Xây dựng,listing_only,,True
AMV,CTCP Sản xuất Kinh doanh Dược và Trang thiết bị Y tế Việt Mỹ,American Vietnamese Biotech Incorporation,HNX,stock,1,26.0,SX Phụ trợ,SX Phụ trợ,listing_only,,True
API,CTCP Đầu tư Châu Á - Thái Bình Dương,Asia - Pacific Investment Joint Stock Company,HNX,stock,1,3.0,Bất động sản,Bất động sản,listing_only,,True
ARM,CTCP Xuất nhập khẩu Hàng không,General Aviation Import Export Joint Stock Company,HNX,stock,1,23.0,Vận tải - kho bãi,Vận tải - kho bãi,listing_only,,True
ATS,CTCP Tập đoàn Đầu tư ATS,ATS Investment Group Joint Stock Company,HNX,stock,1,,,,listing_only,,True
BAX,CTCP Thống Nhất,Thong Nhat Joint Stock Company,HNX,stock,1,3.0,Bất động sản,Bất động sản,listing_only,,True
BBS,CTCP VICEM Bao bì Bút Sơn,VICEM Packaging But Son Joint Stock Company,HNX,stock,1,18.0,SX Nhựa - Hóa chất,SX Nhựa - Hóa chất,listing_only,,True
BCC,CTCP Xi măng Bỉm Sơn,Bim Son Cement Joint Stock Company,HNX,stock,1,21.0,Vật liệu xây dựng,Vật liệu xây dựng,listing_only,,True
