period,ticker,ratioTTMId,ratioType,outstanding_shares,market_cap,dividend_yield,pe_ratio,pb_ratio,ps_ratio,price_to_cash_flow,ev_to_ebitda,cash_ratio,quick_ratio,current_ratio,owners_equity,debtPerEquity,debt_to_equity,roe,roa,days_sales_outstanding,days_inventory_outstanding,days_payable_outstanding,gross_margin,ebit_margin,pre_tax_profit_margin,net_margin,asset_turnover,net_interest_margin,avg_yield_on_earning_assets,avg_cost_of_financing,non_interest_income,cost_to_income_ratio,loans_growth,deposit_growth,equity_to_liabilities,equity_to_loans,equity_to_assets,ldr,npl,loan_loss_reserves_to_npls,loan_loss_reserve_to_loans,provision_to_outstanding_loans,ebit,ebitda,roic,cash_cycle,fixed_asset_turnover,financial_leverage,cir,car,equity,casa_ratio,ratioYearId,organ_name,sector,foreigner_percentage,state_percentage,free_float_percentage,listing_date,listing_year,report_year,firm_age
2018-Q1,AAA,2698941,RATIO_TTM,167199976,2909279582400.0,0.0,7.7930478522,1.1611120081,0.6271577765,-3.8678212646,8.9923458081,0.2003133673,0.7727428128,1.113669195,0.752492031,1.8404738309,2.1639090878,0.1486836544,0.0498232059,28.8926469896,50.4634126842,38.5058031134,0.1285164821,0.0850041821,0.0670709466,0.0542234357,1.1236605307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394320122796.0,585616201981.0,0.0917562463,149.6055192729,2.4016391149,2.1639090878,0.0,,,,,Công ty Cổ phần Nhựa An Phát Xanh,Chemicals,0.01523509,0.0,0.5,2016-11-25T00:00:00,2016,2018.0,2.0
2018-Q2,AAA,2713181,RATIO_TTM,171199976,2431039659200.0,0.0,6.4879353206,0.9881746298,0.3983167859,-2.9221122105,7.7549997154,0.2160398048,0.8307647836,1.1494729545,0.2676592956,1.0237163279,1.246065696,0.112095373,0.041399326,26.3363896976,45.0321362053,32.7811298644,0.1054112934,0.0661814983,0.0497667155,0.0415352254,1.2436466041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403924345452.0,616143324896.0,0.0690793552,134.9383561157,2.9027657193,1.246065696,0.0,,,,,Công ty Cổ phần Nhựa An Phát Xanh,Chemicals,0.01523509,0.0,0.5,2016-11-25T00:00:00,2016,2018.0,2.0
2018-Q3,AAA,2716023,RATIO_TTM,171199976,2448159656800.0,0.0,8.8524796398,0.9766185028,0.3386994376,-8.4462755146,8.4641874659,0.2151205462,0.8486142851,1.3842730496,0.2431007618,1.0560072765,1.283971334,0.0866826976,0.0344390256,26.682459885,52.8585699546,28.9243389374,0.0929927031,0.0547702475,0.0388552742,0.0323665474,1.2828257309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395885837029.0,626656744830.0,0.065781783,140.5379256118,3.1786848116,1.283971334,0.0,,,,,Công ty Cổ phần Nhựa An Phát Xanh,Chemicals,0.01523509,0.0,0.5,2016-11-25T00:00:00,2016,2018.0,2.0
2018-Q4,AAA,2717372,RATIO_TTM,171199976,3167199556000.0,0.0,17.57012765,1.2271754653,0.3953280721,82.1778833993,9.4450686201,0.2013268949,0.9752087881,1.2443046722,0.4505675104,1.2868753934,1.5263539457,0.0782852754,0.0297820161,25.2653204406,34.8699812901,28.4016009548,0.0839955032,0.0490234527,0.0317021808,0.0264803084,1.3236444909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392754951011.0,637706331892.0,0.057627058,121.841521494,3.5620493226,1.5263539457,0.0,,,,,Công ty Cổ phần Nhựa An Phát Xanh,Chemicals,0.01523509,0.0,0.5,2016-11-25T00:00:00,2016,2018.0,2.0
2019-Q1,AAA,2723414,RATIO_TTM,171199976,3124399562000.0,0.0273972603,8.9103339347,1.1173442961,0.3350220963,20.505747606,8.3736939787,0.1368911397,1.1616570093,1.5941152743,0.4226437424,1.2635994978,1.5548577292,0.1157821356,0.0481147743,31.0082727158,53.3096998078,26.6623664023,0.0965116573,0.0620860117,0.0486850947,0.0402922892,1.300401023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,579011086091.0,826135249402.0,0.0818725523,147.7189130713,4.2160896582,1.5548577292,0.0,,,,,Công ty Cổ phần Nhựa An Phát Xanh,Chemicals,0.01523509,0.0,0.5,2016-11-25T00:00:00,2016,2019.0,3.0
2019-Q2,AAA,2725622,RATIO_TTM,171199976,2602239635200.0,0.0328947368,5.8849810348,0.8980922699,0.275725132,26.6150254956,7.4104940342,0.0785509905,1.2850334288,1.611163435,0.4847520058,1.3008446888,1.5917858375,0.143675756,0.0576333264,37.9679943661,55.8295887987,27.3415398841,0.1082215755,0.0715033272,0.0588579175,0.049325181,1.2358001782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,674834356490.0,923981485314.0,0.0910237046,166.4114529663,4.3214357819,1.5917858375,0.0,,,,,Công ty Cổ phần Nhựa An Phát Xanh,Chemicals,0.01523509,0.0,0.5,2016-11-25T00:00:00,2016,2019.0,3.0
2019-Q3,AAA,2730961,RATIO_TTM,171199976,2157119697600.0,0.0396825397,4.6798341048,0.7501183892,0.2243382549,7.7087607141,6.4157637756,0.0736984231,1.3091324308,1.6244471391,0.4496295557,1.1768894803,1.4725650746,0.1470629195,0.0579786797,42.679440063,48.1210956863,27.4261747659,0.110562393,0.0715022986,0.0607121312,0.0511009922,1.2094709515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687528824551.0,941150320858.0,0.0983756705,169.1810935036,4.4619384081,1.4725650746,0.0,,,,,Công ty Cổ phần Nhựa An Phát Xanh,Chemicals,0.01523509,0.0,0.5,2016-11-25T00:00:00,2016,2019.0,3.0
2019-Q4,AAA,2734375,RATIO_TTM,171199976,2114319703600.0,0.04048583,4.5916964941,0.722375891,0.2283757797,4.3207499278,6.3976059681,0.1085521087,1.1585638745,1.5359616905,0.4213240455,1.158623878,1.4537234096,0.1476920121,0.0593513128,27.9585808456,46.3662835751,27.2602424422,0.1125654709,0.073287087,0.0645267493,0.0530379116,1.1933104961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,678497221654.0,937131510118.0,0.096558014,146.3375030882,4.3262920419,1.4537234096,0.0,,,,,Công ty Cổ phần Nhựa An Phát Xanh,Chemicals,0.01523509,0.0,0.5,2016-11-25T00:00:00,2016,2019.0,3.0
2020-Q1,AAA,2749124,RATIO_TTM,211199976,2323199736000.0,0.0,6.0714678924,0.7915434268,0.2833239018,1.8704328051,8.1605233501,0.0941318365,1.1223363211,1.4870798224,0.4109464617,1.1585009851,1.3969033827,0.0966923689,0.0390403953,43.913404378,55.4040892642,28.0720408374,0.1032039923,0.0589708583,0.048609984,0.0415565645,1.0234485434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483549328614.0,746926059718.0,0.0691220945,192.1679432855,3.9075023594,1.3969033827,0.0,,,,,Công ty Cổ phần Nhựa An Phát Xanh,Chemicals,0.01523509,0.0,0.5,2016-11-25T00:00:00,2016,2020.0,4.0
2020-Q2,AAA,2751716,RATIO_TTM,221759974,2406095717900.0,0.0,8.4360766474,0.8000974137,0.3174116743,1.5777671277,9.4413735851,0.0843876958,1.0858511053,1.3685491743,0.3779861259,1.136715024,1.4020819468,0.0767885227,0.0316074349,38.2754755989,56.4719618988,28.2812451969,0.0973836532,0.0492603468,0.0413554493,0.0362117102,0.9631052394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373411311133.0,641571854688.0,0.053911531,195.2788478172,3.6816566169,1.4020819468,0.0,,,,,Công ty Cổ phần Nhựa An Phát Xanh,Chemicals,0.01523509,0.0,0.5,2016-11-25T00:00:00,2016,2020.0,4.0
