Y_variable,Treatment,Model,theta,se,pval,ci_low,ci_high,r2,n_obs
roa,td_a,Pooled OLS,-0.08806163530657207,0.0051259154779150235,3.7692449376012873e-66,-0.09810824503108194,-0.0780150255820622,0.3969335459977763,32029
roa,td_a,Entity FE,-0.057487226741737237,0.006677825785373468,7.391036027756015e-18,-0.07057552477610213,-0.04439892870737234,0.27024542582469,32029
roa,td_a,Two-way FE,-0.059829847794515896,0.0066262567539745925,1.7291935790943238e-19,-0.07281707238462139,-0.046842623204410405,0.285506498029546,32029
roa,ibd_a,Pooled OLS,-0.09315699064340421,0.00605874773215524,2.385562914638375e-53,-0.10503191798984221,-0.08128206329696622,0.38680366475740224,32029
roa,ibd_a,Entity FE,-0.08117018728173782,0.007069235970557562,1.6215398974014686e-30,-0.09502563518224569,-0.06731473938122995,0.2788389481186069,32029
roa,ibd_a,Two-way FE,-0.08505972310859383,0.007033046736217896,1.1321361673288691e-33,-0.09884424141316789,-0.07127520480401978,0.2950442609392717,32029
operating_roa,td_a,Pooled OLS,-0.05339322968924186,0.006064370749510167,1.3153821027797691e-18,-0.06527917794717995,-0.04150728143130376,0.3892739829947389,32029
operating_roa,td_a,Entity FE,-0.02750132102911292,0.006576547019191865,2.8930383539518212e-05,-0.04039111632936322,-0.014611525728862615,0.33194227149219135,32029
operating_roa,td_a,Two-way FE,-0.029437513064336875,0.0065306226809284775,6.556132979328901e-06,-0.042237298315577106,-0.016637727813096644,0.3456538511774039,32029
operating_roa,ibd_a,Pooled OLS,-0.040900630317733125,0.00721193704465301,1.4176711622546883e-08,-0.05503576718402326,-0.02676549345144299,0.3786290609121208,32029
operating_roa,ibd_a,Entity FE,-0.04284077678566304,0.007152134816915355,2.0993320042454133e-09,-0.05685870343939211,-0.028822850131933968,0.3349167242456824,32029
operating_roa,ibd_a,Two-way FE,-0.04674298375262361,0.007115181104763759,5.0493954465607804e-11,-0.06068848246144049,-0.03279748504380673,0.3492944692009742,32029
