metric,value
master_rows,19132
master_firms,634
analysis_rows,18873
analysis_firms,619
min_quarters_rule,12
analysis_start_period,2018-Q1
analysis_end_period,2026-Q1
analysis_periods,32
duplicates_ticker_period_master,0
excluded_low_coverage_periods,2021-Q2
analysis_firms_exchange_HOSE,343
analysis_firms_exchange_HNX,276
missing_master_roa,45
missing_master_debt_to_assets,68
missing_master_current_ratio,45
missing_master_quick_ratio,45
missing_master_asset_turnover,45
missing_master_gross_margin,45
missing_master_log_market_cap,55
